user_id,name,parent_name,fraud_score,spam_score,sim_id,id_used,sim_status,activation_date,sim_fraud_score,cdr_timestamp,duration,call_type,current_location,agent_id,agent_fraud_score,cdr_id
1,User_1,Parent_41,0.158064335,0.795386811,1,Aadhaar Card,Inactive,29/07/24,0.05730437,02/12/24 11:24,278,inbound,Rajasthan,331,0.117359032,1
1,User_1,Parent_41,0.158064335,0.795386811,2,Voter Card,Active,31/10/24,0.004874624,01/12/24 11:24,99,outbound,Uttarakhand,331,0.117359032,2
2,User_2,Parent_67,0.069490215,0.608421786,3,Voter Card,Inactive,13/08/24,0.0842665,02/12/24 11:24,241,inbound,Goa,43,0.29438358,3
2,User_2,Parent_67,0.069490215,0.608421786,4,Aadhaar Card,Inactive,14/03/24,0.07241663,06/02/25 11:24,13,outbound,Karnataka,43,0.29438358,4
3,User_3,Parent_53,0.001378472,0.291250403,5,Voter Card,Active,20/03/24,0.063070388,16/01/25 11:24,287,outbound,Maharashtra,334,0.289752967,5
3,User_3,Parent_53,0.001378472,0.291250403,6,Aadhaar Card,Active,08/05/24,0.088592762,26/11/24 11:24,219,outbound,Mizoram,334,0.289752967,6
4,User_4,Parent_81,0.068495265,0.628292531,7,Driving License,Active,10/08/24,0.09077777,10/02/25 11:24,176,outbound,Tripura,384,0.044002644,7
4,User_4,Parent_81,0.068495265,0.628292531,8,Driving License,Inactive,14/12/24,0.028611659,31/01/25 11:24,123,inbound,Andhra Pradesh,384,0.044002644,8
4,User_4,Parent_81,0.068495265,0.628292531,9,Driving License,Inactive,13/03/24,0.094863015,09/12/24 11:24,269,SMS,Rajasthan,384,0.044002644,9
5,User_5,Parent_2,0.068552453,0.544088802,10,Aadhaar Card,Inactive,26/02/24,0.026371474,26/01/25 11:24,255,inbound,Andhra Pradesh,101,0.200351605,10
6,User_6,Parent_56,0.137731422,0.24659749,11,Voter Card,Inactive,23/11/24,0.080516073,14/01/25 11:24,124,outbound,Chhattisgarh,238,0.049094148,11
6,User_6,Parent_56,0.137731422,0.24659749,12,Voter Card,Active,30/03/24,0.062252659,13/12/24 11:24,142,SMS,Bihar,238,0.049094148,12
6,User_6,Parent_56,0.137731422,0.24659749,13,Aadhaar Card,Active,03/08/24,0.059408408,11/01/25 11:24,252,SMS,Maharashtra,238,0.049094148,13
7,User_7,Parent_91,0.051986243,0.349235172,14,Voter Card,Active,05/09/24,0.088821803,20/11/24 11:24,103,inbound,Karnataka,120,0.28322992,14
8,User_8,Parent_77,0.004791836,0.776691447,15,Aadhaar Card,Inactive,13/10/24,0.016434432,29/12/24 11:24,177,inbound,Goa,36,0.181006611,15
9,User_9,Parent_90,0.028358979,0.886311081,16,Aadhaar Card,Inactive,18/10/24,0.032506316,17/12/24 11:24,88,inbound,Andhra Pradesh,89,0.272764136,16
9,User_9,Parent_90,0.028358979,0.886311081,17,Aadhaar Card,Inactive,16/10/24,0.083830679,24/12/24 11:24,27,outbound,Rajasthan,89,0.272764136,17
9,User_9,Parent_90,0.028358979,0.886311081,18,Voter Card,Active,17/10/24,0.002126456,14/01/25 11:24,181,SMS,Jharkhand,89,0.272764136,18
10,User_10,Parent_77,0.020505691,0.079729574,19,Voter Card,Active,13/03/24,0.077279344,03/02/25 11:24,62,inbound,Gujarat,23,0.081827265,19
10,User_10,Parent_77,0.020505691,0.079729574,20,Driving License,Active,28/10/24,0.095157146,09/01/25 11:24,16,SMS,West Bengal,23,0.081827265,20
11,User_11,Parent_72,0.145048043,0.451833696,21,Driving License,Inactive,06/10/24,0.032671002,25/01/25 11:24,262,inbound,Nagaland,478,0.193810856,21
12,User_12,Parent_2,0.140821769,0.156408421,22,Driving License,Inactive,09/01/25,0.0935921,17/12/24 11:24,240,inbound,Haryana,371,0.13619342,22
13,User_13,Parent_56,0.199008668,0.997701458,23,Voter Card,Inactive,10/07/24,0.057541554,09/01/25 11:24,57,SMS,Arunachal Pradesh,341,0.145908603,23
13,User_13,Parent_56,0.199008668,0.997701458,24,Voter Card,Active,06/05/24,0.000441294,21/01/25 11:24,119,inbound,Gujarat,341,0.145908603,24
14,User_14,Parent_37,0.008848138,0.053261905,25,Driving License,Active,21/05/24,0.072303333,01/01/25 11:24,103,inbound,Meghalaya,379,0.245881099,25
14,User_14,Parent_37,0.008848138,0.053261905,26,Aadhaar Card,Active,17/10/24,0.069529222,20/01/25 11:24,80,outbound,Chhattisgarh,379,0.245881099,26
14,User_14,Parent_37,0.008848138,0.053261905,27,Driving License,Inactive,17/02/24,0.038244655,14/12/24 11:24,54,inbound,Himachal Pradesh,379,0.245881099,27
15,User_15,Parent_52,0.01157923,0.857106115,28,Voter Card,Inactive,20/10/24,0.07645989,20/11/24 11:24,51,inbound,Arunachal Pradesh,196,0.292973853,28
